Current Day of the year,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
349,0.074,0.051,-3,-0.038,0.043,0,0.175,0.005
350,0.08,-0.087,-5,-0.06,0.023,0.004,-0.004,0.003
351,0.1,0.563,11,0.204,-0.202,-0.017,1.053,0.02
352,0.099,-0.276,-8,-0.129,-0.081,0.006,-0.182,0
354,0.117,-0.411,-17,-0.215,0.157,0.017,-0.313,-0.005
355,0.038,-0.119,1,0.013,-0.02,0.001,-0.312,-0.01
356,0.074,0.054,-3,-0.037,0.112,0.003,0.203,0.005
357,0.076,-0.09,-6,-0.069,0.101,0.006,0.144,0.006
358,0.101,0.613,10,0.172,-0.101,-0.007,1.065,0.011
359,0.094,-0.294,-8,-0.121,-0.043,0.006,-0.121,0.001
361,0.115,-0.422,-16,-0.195,0.24,0.012,-0.358,-0.003
362,0.036,-0.125,0,0,-0.071,0,-0.409,-0.009
363,0.074,0.058,-3,-0.035,-0.075,-0.003,-0.063,-0.003
364,0.077,-0.087,-6,-0.066,-0.095,-0.001,-0.121,-0.001
365,0.097,0.656,11,0.177,-0.302,-0.019,0.921,0.011
